"# f [GHz]"	"G_eff,H [dB]"	"G_eff,V [dB]"
0.1	0.680420571264567	1.36084114252913
0.11	2.21227548882367	4.42455097764734
0.12	3.80840641279263	7.61681282558525
0.13	4	8
0.14	4	8
0.15	4	8
0.16	4	8
0.17	4	8
0.18	4	8
0.19	4	8
0.2	4	8
0.21	4	8
0.22	4	8
0.23	4	8
0.24	4	8
0.25	4	8
0.26	4	8
0.27	4	8
0.28	4	8
0.29	4	8
0.3	4	8
0.31	4	8
0.32	4	8
0.33	4	8
0.34	4	8
0.35	4	8
0.36	4	8
0.37	4	8
0.38	4	8
0.39	4	8
0.4	4	8
0.41	4	8
0.42	4	8
0.43	4	8
0.44	4	8
0.45	4	8
0.46	4	8
0.47	4	8
0.48	4	8
0.49	4	8
0.5	4	8
0.51	4	8
0.52	4	8
0.53	4	8
0.54	4	8
0.55	4	8
0.56	4	8
0.57	4	8
0.58	4	8
0.59	4	8
0.6	4	8
0.61	4	8
0.62	4	8
0.63	4	8
0.64	4	8
0.65	4	8
0.66	4	8
0.67	4	8
0.68	4	8
0.69	4	8
0.7	4	8
0.71	4	8
0.72	4	8
0.73	4	8
0.74	4	8
0.75	4	8
0.76	4	8
0.77	4	8
0.78	4	8
0.79	4	8
0.8	4	8
0.81	4	8
0.82	4	8
0.83	4	8
0.84	4	8
0.85	4	8
0.86	4	8
0.87	4	8
0.88	4	8
0.89	4	8
0.9	4	8
0.91	4	8
0.92	4	8
0.93	4	8
0.94	4	8
0.95	4	8
0.96	4	8
0.97	4	8
0.98	4	8
0.99	4	8
1	4	8
1.01	4	8
1.02	4	8
1.03	4	8
1.04	4	8
1.05	4	8
1.06	4	8
1.07	4	8
1.08	4	8
1.09	4	8
1.1	4	8
1.11	4	8
1.12	4	8
1.13	4	8
1.14	4	8
1.15	4	8
1.16	4	8
1.17	4	8
1.18	4	8
1.19	4	8
1.2	4	8
1.21	4	8
1.22	4	8
1.23	4	8
1.24	4	8
